Word,Count
echo,2281
*,1919
?>,1843
,1612
the,1599
@var,981
to,655
model,564
is,554
<b><?php,442
?>:</b>,442
<?php,442
/>,442
<br,442
be,435
$this,425
$model,342
of,235
@param,232
a,229
\$form->error($model,\,217
\$form->labelEx($model,\,216
validation,213
page,213
AJAX,201
will,191
If,188
if,188
all,188
ID,188
browser,188
$id,188
integer,188
action,182
allow,176
perform,176
and,166
deletion,150
control,150
for,150
@return,150
access,150
actions,141
particular,138
redirected,138
\successful,\,138
user,133
default,131
'view',126
data,115
layout,115
not,115
request,115
by,115
on,112
$form,110
models,110
ajax,109
array,109
line,107
needed,107
$this->performAjaxValidation($model);,107
following,107
Uncomment,107
controller,104
users,103
rules,100
loaded,100
we,100
via,100
See,97
in,97
booster.widgets.TbActiveForm,92
'admin',88
admin,88
Student,84
InternshipPosition,84
you,81
This,80
redirect,80
InternshipPositionController,75
Displays,74
this,71
method,70
RequestInternship,69
code,67
using,65
an,65
StudentController,65
CActiveForm,64
any,61
Professor,61
CompanyController,59
displayed,59
RequestInternshipController,59
Company,58
layouts/column2Admin';,55
ProfessorController,55
Users,54
'index',53
clear,51
values,51
sure,51
two-column,50
string,50
Deletes,50
CRUD,50
HTTP,50
should,50
GET,50
'update',50
given,50
POST,50
'protected/views/layouts/column2.php',50
views,50
based,50
\view),\,50
deleted,50
Defaults,50
filters,50
(triggered,50
grid,50
only,50
Manages,50
@throws,50
raised,50
exception,50
meaning,50
variable,50
CHttpException,50
'accessControl',50
filter,50
\found,\,50
operations,50
primary,50
Lists,50
Specifies,50
Returns,50
used,50
deny,50
\'//layouts/column2',\,50
authenticated,50
key,50
'create',50
UsersController,48
\validation,\,47
handling,47
note:,47
Please,47
commented,47
class,47
generated,47
details,47
When,47
correctly,47
corresponding,47
call,47
enable,47
make,47
There,47
documentation,47
performAjaxValidation(),47
SiteController,45
CActiveDataProvider,45
$dataProvider,45
$data,45
renders,45
updated,44
Performs,44
Creates,44
update,44
new,44
$form->errorSummary($model);,44
Updates,44
creation,44
validated,44
'delete',38
=>,37
textFieldGroup,32
module,30
login,30
contact,30
input,30
'password');,28
=,27
'telephone');,26
'activated');,26
'email');,26
'username');,26
'first_name');,26
'last_name');,26
when,25
\InternshipPosition',\,21
called,20
may,20
here,20
place,20
die();,18
maxlength,16
size,16
'date_start');,16
valid,15
index.php?r=site/page&view=FileName,15
form,15
view,15
under,15
requested,15
pages,15
collect,15
validate,15
exceptions,15
captcha,15
explicitly,15
previous,15
'protected/views/site/index.php',15
invoked,15
CAPTCHA,15
current,15
external,15
via:,15
file,15
'protected/views/layouts/main.php',15
stored,15
They,15
Declares,15
display,15
accessed,15
class-based,15
that,15
\"\static"\\,15
can,15
homepage,15
out,15
image,15
it,15
handle,15
Logs,15
'protected/views/site/pages',15
\$form->error($model,'password');\,14
\$form->error($model,'description');\,14
\$form->labelEx($model,'description');\,14
\$form->labelEx($model,'email');\,14
\$form->labelEx($model,'username');\,14
\$form->labelEx($model,'password');\,14
\$form->error($model,'username');\,14
\$form->error($model,'email');\,14
type,13
\$form->error($model,'status');\,12
'address');,12
'father_name');,12
'birth_day');,12
'mother_name');,12
\$form->labelEx($model,'student_id');\,12
\$form->error($model,'student_id');\,12
\$form->labelEx($model,'telephone');\,12
'identity_number');,12
'gender');,12
\$form->labelEx($model,'last_name');\,12
\$form->error($model,'activated');\,12
'ama_ika');,12
\'status',\,12
\$form->error($model,'academicid');\,12
\$form->labelEx($model,'first_name');\,12
\$form->labelEx($model,'activated');\,12
'amka');,12
\$form->error($model,'telephone');\,12
'afm');,12
\$form->labelEx($model,'academicid');\,12
'year_in');,12
'doy');,12
\$form->labelEx($model,'status');\,12
\$form->error($model,'first_name');\,12
'department');,12
\$form->error($model,'last_name');\,12
'aem');,12
'IBAN');,12
'date_end');,10
'file_grades');,10
DefaultController,10
customized,10
created,10
\'url'=>array('create')),\,10
'file_cv');,10
\'status_submit_student',\,10
application,10
before,10
module-level,10
or,10
performed,10
being,10
customize,10
\'published',\,10
components,10
\'status_submit_professor',\,10
'file_ika');,10
import,10
\'status_submit_company',\,10
CHtml::encode($data->co_text1);,9
Company::model()->findByAttributes(array('company_id'=>$cid));,9
$error,9
CHtml::encode($data->co_text2);,9
CHtml::encode($data->getAttributeLabel('st_text2'));,9
CHtml::encode($data->st_text3);,9
CHtml::encode($data->co_absence1);,9
$company,9
LoginForm,9
\RequestInternship',\,9
CHtml::encode($data->st_text1);,9
$this->redirect(Yii::app()->user->returnUrl);,9
CHtml::encode($data->getAttributeLabel('st_final_text'));,9
\'st_text1',\,9
CHtml::encode($data->published);,9
\'co_absence2',\,9
array('label'=>'Create,9
ContactForm,9
CHtml::encode($data->getAttributeLabel('status_submit_company'));,9
CHtml::encode($data->st_notes2);,9
\'student_id',\,9
CHtml::encode($data->getAttributeLabel('prof_final_text'));,9
CHtml::encode($data->getAttributeLabel('year'));,9
CHtml::encode($data->getAttributeLabel('co_final_notes'));,9
\'st_absence1',\,9
CHtml::encode($data->getAttributeLabel('status_submit_student'));,9
\'co_notes2',\,9
CHtml::encode($data->st_text2);,9
CHtml::encode($data->co_absence2);,9
CHtml::encode($data->status_submit_student);,9
\'co_text1',\,9
\'co_text2',\,9
Student::model()->findByAttributes(array('user_id'=>$uid));,9
CHtml::encode($data->getAttributeLabel('st_absence1'));,9
CHtml::encode($data->getAttributeLabel('published'));,9
\'co_notes1',\,9
CHtml::encode($data->getAttributeLabel('status'));,9
ErgoController,9
CHtml::encode($data->getAttributeLabel('st_absence2'));,9
CHtml::encode($data->getAttributeLabel('co_absence3'));,9
CHtml::encode($data->st_absence1);,9
\'st_notes3',\,9
CHtml::encode($data->co_notes2);,9
CHtml::encode($data->co_final_text);,9
CHtml::encode($data->year);,9
CHtml::encode($data->getAttributeLabel('co_notes2'));,9
CHtml::encode($data->st_final_notes);,9
\$criteria->compare('ergo_id',\,9
CHtml::encode($data->st_notes1);,9
\'co_absence1',\,9
CHtml::encode($data->getAttributeLabel('co_notes3'));,9
$s,9
Ergo,9
CHtml::encode($data->getAttributeLabel('st_text3'));,9
CHtml::encode($data->getAttributeLabel('st_notes1'));,9
CHtml::encode($data->st_notes3);,9
CHtml::encode($data->getAttributeLabel('co_final_text'));,9
CHtml::encode($data->getAttributeLabel('status_submit_professor'));,9
CHtml::encode($data->getAttributeLabel('co_text2'));,9
CHtml::encode($data->getAttributeLabel('st_notes3'));,9
CHtml::encode($data->st_absence2);,9
CHtml::encode($data->st_final_text);,9
\'year',\,9
\'co_final_notes',\,9
\'st_final_text',\,9
CHtml::encode($data->co_notes1);,9
CHtml::encode($data->getAttributeLabel('co_absence1'));,9
\'st_text2',\,9
\'co_text3',\,9
CHtml::encode($data->description);,9
CHtml::encode($data->prof_final_text);,9
CHtml::encode($data->getAttributeLabel('st_notes2'));,9
\'st_notes1',\,9
\'st_absence2',\,9
CHtml::encode($data->getAttributeLabel('co_text1'));,9
CHtml::encode($data->status_submit_professor);,9
\'st_text3',\,9
var_dump($model->attributes);,9
CHtml::encode($data->getAttributeLabel('co_notes1'));,9
\'url'=>array('admin')),\,9
\'co_notes3',\,9
CHtml::encode($data->title);,9
CHtml::encode($data->status);,9
\'co_final_text',\,9
CHtml::encode($data->status_submit_company);,9
CHtml::encode($data->getAttributeLabel('st_text1'));,9
CHtml::encode($data->getAttributeLabel('description'));,9
CHtml::encode($data->co_final_notes);,9
\'st_final_notes',\,9
CHtml::encode($data->getAttributeLabel('st_absence3'));,9
CHtml::encode($data->getAttributeLabel('title'));,9
\'st_notes2',\,9
CHtml::encode($data->getAttributeLabel('co_absence2'));,9
CHtml::encode($data->getAttributeLabel('st_final_notes'));,9
CHtml::encode($data->co_notes3);,9
CHtml::encode($data->co_absence3);,9
\'co_absence3',\,9
CHtml::encode($data->co_text3);,9
CHtml::encode($data->getAttributeLabel('co_text3'));,9
\'prof_final_text',\,9
\'st_absence3',\,9
$model->id);,9
CHtml::encode($data->st_absence3);,9
array('label'=>'Manage,8
\'description',\,8
\'title',\,8
\$form->labelEx($model,'grade');\,7
var_dump(CHtml::errorSummary($c));,7
CHtml::encode($data->getAttributeLabel('code3'));,7
\$form->labelEx($model,'st_absence1');\,7
\$form->error($model,'brand');\,7
\$form->error($model,'co_notes1');\,7
CHtml::encode($data->code3);,7
\$form->error($model,'co_final_notes');\,7
CHtml::encode($data->getAttributeLabel('title2'));,7
CHtml::encode($data->getAttributeLabel('title4'));,7
\$form->error($model,'st_absence1');\,7
\$form->labelEx($model,'co_text1');\,7
\$form->labelEx($model,'co_final_text');\,7
CHtml::encode($data->title5);,7
\$form->labelEx($model,'co_text2');\,7
company,7
\$form->error($model,'co_final_text');\,7
\$form->labelEx($model,'co_text3');\,7
\$form->error($model,'co_absence1');\,7
\$form->error($model,'department');\,7
\'title3',\,7
\'code4',\,7
\$form->labelEx($model,'co_absence2');\,7
CHtml::encode($data->code2);,7
\$form->labelEx($model,'co_notes2');\,7
\$form->error($model,'prof_final_text');\,7
\$form->labelEx($model,'company_id');\,7
\$form->labelEx($model,'title');\,7
\$form->error($model,'company_id');\,7
\'code2',\,7
CHtml::encode($data->code5);,7
\$form->error($model,'co_text2');\,7
\$form->error($model,'title');\,7
CHtml::encode($data->title3);,7
\'title2',\,7
\'code1',\,7
\$form->error($model,'grade');\,7
\$form->labelEx($model,'department');\,7
\$form->labelEx($model,'co_final_notes');\,7
\$form->labelEx($model,'co_absence1');\,7
CHtml::encode($data->getAttributeLabel('code2'));,7
\$form->error($model,'co_absence3');\,7
\$form->error($model,'co_text1');\,7
CHtml::encode($data->title2);,7
\$form->labelEx($model,'prof_final_text');\,7
CHtml::encode($data->code4);,7
\$form->labelEx($model,'co_absence3');\,7
\$form->error($model,'co_text3');\,7
CHtml::encode($data->getAttributeLabel('code5'));,7
\$form->error($model,'co_notes3');\,7
CHtml::encode($data->getAttributeLabel('code4'));,7
var_dump(CHtml::errorSummary($company));,7
\'title5',\,7
\'code5',\,7
\$form->labelEx($model,'brand');\,7
CHtml::encode($data->title4);,7
\$form->error($model,'year');\,7
\$form->labelEx($model,'co_notes1');\,7
as,7
\$form->labelEx($model,'co_notes3');\,7
CHtml::encode($data->getAttributeLabel('title5'));,7
\$form->error($model,'co_absence2');\,7
\'title4',\,7
\$form->error($model,'co_notes2');\,7
\$form->labelEx($model,'year');\,7
CHtml::encode($data->getAttributeLabel('title3'));,7
\'code3',\,7
\'mother_name',\,6
\$form->labelEx($model,'aem');\,6
\$form->error($model,'type');\,6
\'type',\,6
CHtml::encode($data->getAttributeLabel('identity_number'));,6
\$form->labelEx($model,'st_absence2');\,6
\$form->labelEx($model,'st_final_text');\,6
\$form->error($model,'status_submit_student');\,6
CHtml::encode($data->getAttributeLabel('academicid'));,6
CHtml::encode($data->getAttributeLabel('doy'));,6
CHtml::encode($data->address);,6
CHtml::encode($data->getAttributeLabel('address'));,6
CHtml::encode($data->getAttributeLabel('year_in'));,6
\$form->labelEx($model,'st_notes2');\,6
professor,6
\$form->labelEx($model,'st_text3');\,6
\$form->labelEx($model,'internship_position_id');\,6
\$form->labelEx($model,'professor_id');\,6
\$form->error($model,'st_absence2');\,6
\$form->labelEx($model,'status_submit_company');\,6
CHtml::encode($data->getAttributeLabel('telephone'));,6
dld,6
\$form->error($model,'status_submit_professor');\,6
\$form->labelEx($model,'st_notes1');\,6
\'doy',\,6
\'act_code',\,6
\$form->error($model,'st_notes3');\,6
\$form->error($model,'st_final_text');\,6
CHtml::encode($data->getAttributeLabel('type'));,6
CHtml::encode($data->year_in);,6
\$form->error($model,'aem');\,6
\$form->error($model,'st_absence3');\,6
\$form->error($model,'status_submit_company');\,6
\$form->labelEx($model,'st_final_notes');\,6
CHtml::encode($data->mother_name);,6
\$form->labelEx($model,'status_submit_professor');\,6
CHtml::encode($data->identity_number);,6
\$form->labelEx($model,'st_text2');\,6
CHtml::encode($data->afm);,6
\$form->error($model,'internship_position_id');\,6
\$form->error($model,'st_text1');\,6
var_dump(CHtml::errorSummary($student));,6
CHtml::encode($data->getAttributeLabel('ama_ika'));,6
CHtml::encode($data->amka);,6
\'father_name',\,6
student,6
CHtml::encode($data->doy);,6
\'ama_ika',\,6
CHtml::encode($data->getAttributeLabel('afm'));,6
\'afm',\,6
\'email',\,6
\'amka',\,6
\$form->error($model,'st_notes2');\,6
\$form->labelEx($model,'published');\,6
\$form->error($model,'st_notes1');\,6
CHtml::encode($data->getAttributeLabel('amka'));,6
\'aem',\,6
CHtml::encode($data->getAttributeLabel('birth_day'));,6
\$form->labelEx($model,'type');\,6
\'identity_number',\,6
\$form->labelEx($model,'act_code');\,6
CHtml::encode($data->email);,6
CHtml::encode($data->ama_ika);,6
\$form->error($model,'published');\,6
\'gender',\,6
var_dump(CHtml::errorSummary($u));,6
\$form->error($model,'act_code');\,6
\'year_in',\,6
this->layout;,6
CHtml::encode($data->getAttributeLabel('mother_name'));,6
\$form->error($model,'st_text3');\,6
CHtml::encode($data->getAttributeLabel('email'));,6
CHtml::encode($data->gender);,6
\$form->labelEx($model,'st_text1');\,6
CHtml::encode($data->academicid);,6
\$form->error($model,'st_final_notes');\,6
CHtml::encode($data->IBAN);,6
CHtml::encode($data->type);,6
CHtml::encode($data->getAttributeLabel('gender'));,6
\'telephone',\,6
\'birth_day',\,6
CHtml::encode($data->aem);,6
\'address',\,6
\'academicid',\,6
var_dump($student);,6
\$form->labelEx($model,'st_notes3');\,6
CHtml::encode($data->getAttributeLabel('IBAN'));,6
\$form->error($model,'st_text2');\,6
CHtml::encode($data->birth_day);,6
\'IBAN',\,6
CHtml::encode($data->getAttributeLabel('aem'));,6
\$form->labelEx($model,'status_submit_student');\,6
\$form->labelEx($model,'st_absence3');\,6
\$form->error($model,'professor_id');\,6
CHtml::encode($data->telephone);,6
5);,5
\$form->error($model,'code4');\,5
\$form->error($model,'title1');\,5
\$form->labelEx($model,'title5');\,5
\$form->labelEx($model,'title2');\,5
\$form->error($model,'title3');\,5
\$form->labelEx($model,'code2');\,5
'expression',5
\$form->labelEx($model,'code1');\,5
\str_repeat('&nbsp;',\,5
\$form->error($model,'title2');\,5
\$form->labelEx($model,'code4');\,5
\$form->error($model,'title4');\,5
\$form->labelEx($model,'title4');\,5
\array('CompanyController','allowOnlyOwner')\,5
\$form->labelEx($model,'code5');\,5
\$form->labelEx($model,'title3');\,5
\$form->labelEx($model,'code3');\,5
'date_request');,5
\$form->error($model,'code2');\,5
\$form->labelEx($model,'title1');\,5
\$form->error($model,'code1');\,5
\$form->error($model,'title5');\,5
\$form->error($model,'code3');\,5
\$form->error($model,'code5');\,5
\'linkOptions'=>array('submit'=>array('delete','id'=>$model->id),'confirm'=>'Are\,4
\'url'=>array('index')),\,4
array('label'=>'List,4
want,4
\item?')),\,4
array('label'=>'Delete,4
Yii::app()->user->id));,4
delete,4
\'url'=>'#',\,4
$student,3
respond,3
'maxlength',3
layouts/Companyadmin';,3
45));,3
\'file_cv',\,3
array(,3
'Thank,3
$this->refresh();,3
We,3
possible.');,3
soon,3
\45,\,3
contacting,3
'actions',3
Student::model()->findByAttributes(array('user_id',3
us,3
array('size',3
\Yii::app()->user->setFlash('contact',\,3
\$form->fileFieldGroup($model,\,3
layouts/StudentAdmin';,3
'st_absence3');,2
\$form->error($model,'file_grades');\,2
\$form->error($model,'file_cv');\,2
'st_absence2');,2
CHtml::encode($data->file_cv_name);,2
\$form->error($model,'enabled');\,2
layouts/ProfessorAdmin';,2
\$form->labelEx($model,'name');\,2
\'file_cv_name',\,2
'st_text1');,2
'st_text3');,2
\'url'=>array('update',\,2
var_dump($model);,2
\$form->labelEx($model,'file_cv');\,2
\),\,2
CHtml::encode($data->getAttributeLabel('status_data'));,2
'st_notes3');,2
));,2
//,2
\Search','#',array('class'=>'search-button'));\,2
\$form->labelEx($model,'enabled');\,2
CHtml::encode($data->file_ika);,2
CHtml::encode($data->status_data);,2
\$form->labelEx($model,'file_grades');\,2
'st_final_notes');,2
'st_text2');,2
var_dump($_POST);,2
\'id'=>$model->id)),\,2
CHtml::encode($data->enabled);,2
\$form->labelEx($model,'period');\,2
\'enabled',\,2
CHtml::encode($data->file_grades_name);,2
\'status_data',\,2
'st_notes2');,2
array('label'=>'Update,2
\array('allow',\,2
\'file_ika',\,2
\$form->labelEx($model,'f_ika');\,2
CHtml::encode($data->getAttributeLabel('enabled'));,2
\$form->error($model,'name');\,2
\$form->error($model,'f_ika');\,2
\$form->labelEx($model,'surname');\,2
'url',2
'users',2
\$form->error($model,'period');\,2
CHtml::encode($data->getAttributeLabel('file_grades_name'));,2
'id',2
\$form->error($model,'surname');\,2
'st_final_text');,2
CHtml::link('Advanced,2
//echo,2
'st_notes1');,2
array('label',2
CHtml::encode($data->getAttributeLabel('file_cv_name'));,2
1,2
CHtml::encode($data->getAttributeLabel('file_ika'));,2
\'file_grades_name',\,2
\'_view',\,1
IS,1
layouts/Professoradmin';,1
TODO,1
\αίτηση',\,1
$month=0;,1
var_dump($_FILES);,1
\'update'),\,1
$body='άνοιξε,1
οι,1
το,1
\$form->labelEx($model,'afm');\,1
\$student->id,\,1
\$form->error($model,'doy');\,1
\$form->textFieldGroup($model,\,1
NULL');,1
$model->order);,1
\array('@'),\,1
$data->internship_position_id));,1
\$this->beginWidget('CActiveForm',\,1
'uid',1
\$form->error($model,'afm');\,1
\array('admin',\,1
\$this->SendMail($model->student_id,$body);\,1
'itemView',1
'order',1
θέσεων,1
\CHtml::hiddenField('RequestInternship',\,1
array('label'=>'Δημιουργία,1
\'url'=>array('view',\,1
θέση,1
foreach,1
var_dump($student->attributes);,1
$criteria->addCondition('student_id,1
var_dump(Yii::app()->user->id);,1
var_dump($model->save());,1
μήνας';,1
$student->counter_requests=0;,1
$data->id));,1
\array('admin'),\,1
$in,1
echo($model->order);,1
1);,1
'iid',1
$criteria->addCondition('published=1');,1
CHtml::link('κάντε,1
'internship_position_id',1
\$form->error($model,'identity_number');\,1
$tr=$,1
\'professor_id',\,1
θέλουμε,1
AND,1
'size',1
γίνεται,1
νέας,1
array('label'=>'View,1
na,1
φοιτητής,1
\'date_start',\,1
κάθε,1
($model->title);,1
{,1
\array('create',\,1
categories.id,1
\$model->student_id,'rid'\,1
$st_name=$st->users->first_name;,1
\'10',));\,1
\$orderIRForm->order_ids,\,1
\'order',\,1
//var_dump($in);,1
\$dataProvider,\,1
πρώτος,1
\'grade',\,1
RequestInternship::model()->findByAttributes(array('student_id',1
'dataProvider',1
\array('RequestInternship/NewRequest',\,1
\'order_ids',\,1
\array('index',\,1
κάνει,1
var_dump($r);,1
},1
status,1
\$form=$this->beginWidget('booster.widgets.TbActiveForm',\,1
για,1
array('label'=>'Αναζήτηση,1
$i),1
$this->endWidget();,1
\$model->id,\,1
\array('create')),\,1
προτίμησης:',1
\'user_id',\,1
CHtml::encode($data->order);,1
$_FILES['Student'],1
var_dump($orderIRForm->attributes);,1
aferaithei!!,1
$hasRequest,1
$comp_name=$comp->company->brand;,1
\$form->labelEx($model,'tk');\,1
\$model->internship_position_id,\,1
var_dump($data->attributes);,1
CHtml::encode($data->getAttributeLabel('order'));,1
ο,1
\'users'=>array('*'),\,1
\μου',\,1
\"\.$categories_id,\,1
'Manage,1
$model=$this->loadModel($student->internshipposition->id);,1
'Σειρά,1
\ASC',\,1
$_FILES['StudentForm'];,1
\$form->labelEx($model,'identity_number');\,1
InternshipPosition::model()->findByAttributes(array('id',1
\$form->listBox($orderIRForm,\,1
$st=$model->student->getBothnamesurname();,1
\$this->widget('zii.widgets.CListView',\,1
'Create,1
\'view'),\,1
να,1
\'date_end',\,1
έχει,1
echo($st);,1
($r,1
\CHtml::link('ανάθεση',\,1
var_dump(CHtml::errorSummary($model));,1
\'on'=>"\categories.is_active\,1
($student->id);,1
\'order-ids',\,1
που,1
(empty($model)),1
\'multiple',\,1
\$form->labelEx($model,'doy');\,1
'sid',1
\θέσης',\,1
'categories.position,1
\array('admin')),\,1
\'id'=>$data->id)),\,1
layouts/Studentadmin';,1
\$form->error($model,'tk');\,1
$model->id));,1
array('multiple',1
\'delete'),\,1
var_dump($u->attributes);,1
\array('InternshipPosition/award',\,1
